16
0.5228571428571427 0.5707142857142857 1 2 3 4
-0.6242857142857143 0.5299999999999998 0 10 11 14
0.16571428571428548 0.3164285714285714 0 10 12 13
1.3671428571428574 0.5357142857142856 0 11 13 15
0.40571428571428614 -0.2149999999999994 0 12 14 15
-0.3771428571428569 0.36357142857142877 9 10 11 13
-1.0978571428571433 -0.43714285714285706 9 10 12 14
-0.03857142857142826 -0.15928571428571425 9 11 14 15
1.0507142857142857 -0.6164285714285715 9 12 13 15
-0.38785714285714323 -0.4485714285714284 5 6 7 8
-1.0828571428571427 0.35357142857142865 1 2 5 6
0.022857142857142687 0.5114285714285715 1 3 5 7
0.1399999999999999 -0.5628571428571432 2 4 6 8
1.1314285714285712 0.3264285714285712 2 3 5 8
-0.6242857142857143 -0.13285714285714256 1 4 6 7
1.3885714285714288 -0.2142857142857142 3 4 7 8
